inventory_category_id,category_name,category_type,parent_category_name,parent_category_type,asset_tag,name,description,serial_number,status,quantity,unit,location,assigned_to_user_id,metadata,purchased_at,warranty_expires_at
,Headset,asset,Audio Visual Equipment,asset_group,HEADSET-0001,Saramonic Headset WiTalk System with Charger,WiTalk System with Charger,SR23042210264,available,1,units,Le Berceau,,"{""source_file"":""ict office(1).docx"",""source_files"":[""ict office(1).docx""]}",2023-08-02,
,Projector,asset,Audio Visual Equipment,asset_group,PROJECTOR-0001,Casio XJ-H1700 DLP PROJECTOR,XJ-H1700 DLP PROJECTOR,"A938BBAF22-022265, A938BBAF22-022120, A938BBAF22-022311",available,3,unit,SHOJ Control Room,,"{""source_file"":""control room(1).docx"",""source_files"":[""control room(1).docx""],""raw_remarks"":[""Functional""]}",2016-05-10,
,Projector,asset,Audio Visual Equipment,asset_group,PROJECTOR-0002,Projector Ceiling Bracket,Ceiling Bracket,,available,3,units,SHOJ Control Room,,"{""source_file"":""control room(1).docx"",""source_files"":[""control room(1).docx""],""raw_remarks"":[""Functional""]}",2016-05-10,
,Projector,asset,Audio Visual Equipment,asset_group,PROJECTOR-0003,Screen Projector,View Tech,,available,1,unit,LR 104 Networking / Computer Hardware Servicing Lab,,"{""source_file"":""LR104(1).docx"",""source_files"":[""LR104(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0004,4 Port VGA Splitter,4 Port VGA Splitter,,available,1,unit,ICT Dept.,,"{""source_file"":""ict office(1).docx"",""source_files"":[""ict office(1).docx""],""raw_remarks"":[""Functional""]}",2017-09-14,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0008,Adapter - PC01,CHICONY,00214307E9APH02,available,1,unit,LR 101 E-Learning / Research Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC01"",""raw_value"":""CHICONY 00214307E9APH02"",""source_file"":""LR101(1).docx"",""source_files"":[""LR101(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0033,Adapter - PC01,CHICONY,0022010458BPH02,available,1,unit,LR 102 Programming & Web Development Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC01"",""raw_value"":""CHICONY 0022010458BPH02"",""source_file"":""LR102(1).docx"",""source_files"":[""LR102(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0058,Adapter - PC01,CHICONY,002201045C7PH02,available,1,unit,LR 103 Multi Media / Programming Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC01"",""raw_value"":""CHICONY 002201045C7PH02"",""source_file"":""LR103(1).docx"",""source_files"":[""LR103(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0083,Adapter - PC01,CHICONY,0022010458CPH02,available,1,unit,LR 104 Networking / Computer Hardware Servicing Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC01"",""raw_value"":""CHICONY 0022010458CPH02"",""source_file"":""LR104(1).docx"",""source_files"":[""LR104(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0009,Adapter - PC02,CHICONY,00214307EA7PH02,available,1,unit,LR 101 E-Learning / Research Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC02"",""raw_value"":""CHICONY 00214307EA7PH02"",""source_file"":""LR101(1).docx"",""source_files"":[""LR101(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0034,Adapter - PC02,CHICONY,002201045D3PH02,available,1,unit,LR 102 Programming & Web Development Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC02"",""raw_value"":""CHICONY 002201045D3PH02"",""source_file"":""LR102(1).docx"",""source_files"":[""LR102(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0059,Adapter - PC02,CHICONY,00214301CC2PH02,available,1,unit,LR 103 Multi Media / Programming Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC02"",""raw_value"":""CHICONY 00214301CC2PH02"",""source_file"":""LR103(1).docx"",""source_files"":[""LR103(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0084,Adapter - PC02,CHICONY,00220104646PH02,available,1,unit,LR 104 Networking / Computer Hardware Servicing Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC02"",""raw_value"":""CHICONY 00220104646PH02"",""source_file"":""LR104(1).docx"",""source_files"":[""LR104(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0010,Adapter - PC03,CHICONY,00214307EBEPH02,available,1,unit,LR 101 E-Learning / Research Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC03"",""raw_value"":""CHICONY 00214307EBEPH02"",""source_file"":""LR101(1).docx"",""source_files"":[""LR101(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0035,Adapter - PC03,CHICONY,002201045A9PH02,available,1,unit,LR 102 Programming & Web Development Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC03"",""raw_value"":""CHICONY 002201045A9PH02"",""source_file"":""LR102(1).docx"",""source_files"":[""LR102(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0060,Adapter - PC03,CHICONY,002201045BCPH02,available,1,unit,LR 103 Multi Media / Programming Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC03"",""raw_value"":""CHICONY 002201045BCPH02"",""source_file"":""LR103(1).docx"",""source_files"":[""LR103(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0085,Adapter - PC03,CHICONY,002201045B8PH02,available,1,unit,LR 104 Networking / Computer Hardware Servicing Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC03"",""raw_value"":""CHICONY 002201045B8PH02"",""source_file"":""LR104(1).docx"",""source_files"":[""LR104(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0011,Adapter - PC04,CHICONY,00214307F8APH02,available,1,unit,LR 101 E-Learning / Research Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC04"",""raw_value"":""CHICONY 00214307F8APH02"",""source_file"":""LR101(1).docx"",""source_files"":[""LR101(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0036,Adapter - PC04,CHICONY,00224307EACPH02,available,1,unit,LR 102 Programming & Web Development Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC04"",""raw_value"":""CHICONY 00224307EACPH02"",""source_file"":""LR102(1).docx"",""source_files"":[""LR102(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0061,Adapter - PC04,CHICONY,002201045F6PH02,available,1,unit,LR 103 Multi Media / Programming Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC04"",""raw_value"":""CHICONY 002201045F6PH02"",""source_file"":""LR103(1).docx"",""source_files"":[""LR103(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0086,Adapter - PC04,CHICONY,00214307F8BPH02,available,1,unit,LR 104 Networking / Computer Hardware Servicing Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC04"",""raw_value"":""CHICONY 00214307F8BPH02"",""source_file"":""LR104(1).docx"",""source_files"":[""LR104(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0012,Adapter - PC05,CHICONY,00214307EA9PH02,available,1,unit,LR 101 E-Learning / Research Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC05"",""raw_value"":""CHICONY 00214307EA9PH02"",""source_file"":""LR101(1).docx"",""source_files"":[""LR101(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0037,Adapter - PC05,CHICONY,00220104587PH02,available,1,unit,LR 102 Programming & Web Development Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC05"",""raw_value"":""CHICONY 00220104587PH02"",""source_file"":""LR102(1).docx"",""source_files"":[""LR102(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0062,Adapter - PC05,CHICONY,0022010453FPH02,available,1,unit,LR 103 Multi Media / Programming Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC05"",""raw_value"":""CHICONY 0022010453FPH02"",""source_file"":""LR103(1).docx"",""source_files"":[""LR103(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0087,Adapter - PC05,CHICONY,0022010458EPH02,available,1,unit,LR 104 Networking / Computer Hardware Servicing Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC05"",""raw_value"":""CHICONY 0022010458EPH02"",""source_file"":""LR104(1).docx"",""source_files"":[""LR104(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0013,Adapter - PC06,CHICONY,00214307F97PH02,available,1,unit,LR 101 E-Learning / Research Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC06"",""raw_value"":""CHICONY 00214307F97PH02"",""source_file"":""LR101(1).docx"",""source_files"":[""LR101(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0038,Adapter - PC06,CHICONY,002201045BFPH02,available,1,unit,LR 102 Programming & Web Development Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC06"",""raw_value"":""CHICONY 002201045BFPH02"",""source_file"":""LR102(1).docx"",""source_files"":[""LR102(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0063,Adapter - PC06,CHICONY,00220104594PH02,available,1,unit,LR 103 Multi Media / Programming Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC06"",""raw_value"":""CHICONY 00220104594PH02"",""source_file"":""LR103(1).docx"",""source_files"":[""LR103(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0088,Adapter - PC06,CHICONY,00214301DA0PH02,available,1,unit,LR 104 Networking / Computer Hardware Servicing Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC06"",""raw_value"":""CHICONY 00214301DA0PH02"",""source_file"":""LR104(1).docx"",""source_files"":[""LR104(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0014,Adapter - PC07,CHICONY,00214307E9EPH02,available,1,unit,LR 101 E-Learning / Research Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC07"",""raw_value"":""CHICONY 00214307E9EPH02"",""source_file"":""LR101(1).docx"",""source_files"":[""LR101(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0039,Adapter - PC07,CHICONY,002201045F7PH02,available,1,unit,LR 102 Programming & Web Development Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC07"",""raw_value"":""CHICONY 002201045F7PH02"",""source_file"":""LR102(1).docx"",""source_files"":[""LR102(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0064,Adapter - PC07,CHICONY,002201045B0PH02,available,1,unit,LR 103 Multi Media / Programming Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC07"",""raw_value"":""CHICONY 002201045B0PH02"",""source_file"":""LR103(1).docx"",""source_files"":[""LR103(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0089,Adapter - PC07,CHICONY,00214301BDAPH02,available,1,unit,LR 104 Networking / Computer Hardware Servicing Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC07"",""raw_value"":""CHICONY 00214301BDAPH02"",""source_file"":""LR104(1).docx"",""source_files"":[""LR104(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0015,Adapter - PC08,CHICONY,00214307EA0PH02,available,1,unit,LR 101 E-Learning / Research Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC08"",""raw_value"":""CHICONY 00214307EA0PH02"",""source_file"":""LR101(1).docx"",""source_files"":[""LR101(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0040,Adapter - PC08,CHICONY,00214307EA0PH02,available,1,unit,LR 102 Programming & Web Development Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC08"",""raw_value"":""CHICONY 00214307EA0PH02"",""source_file"":""LR102(1).docx"",""source_files"":[""LR102(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0065,Adapter - PC08,CHICONY,002201045ABPH02,available,1,unit,LR 103 Multi Media / Programming Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC08"",""raw_value"":""CHICONY 002201045ABPH02"",""source_file"":""LR103(1).docx"",""source_files"":[""LR103(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0090,Adapter - PC08,CHICONY,002201045B4PH02,available,1,unit,LR 104 Networking / Computer Hardware Servicing Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC08"",""raw_value"":""CHICONY 002201045B4PH02"",""source_file"":""LR104(1).docx"",""source_files"":[""LR104(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0016,Adapter - PC09,CHICONY,00214301DD2PH02,available,1,unit,LR 101 E-Learning / Research Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC09"",""raw_value"":""CHICONY 00214301DD2PH02"",""source_file"":""LR101(1).docx"",""source_files"":[""LR101(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0041,Adapter - PC09,CHICONY,002201045B2PH02,available,1,unit,LR 102 Programming & Web Development Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC09"",""raw_value"":""CHICONY 002201045B2PH02"",""source_file"":""LR102(1).docx"",""source_files"":[""LR102(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0066,Adapter - PC09,CHICONY,00220100379PH02,available,1,unit,LR 103 Multi Media / Programming Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC09"",""raw_value"":""CHICONY 00220100379PH02"",""source_file"":""LR103(1).docx"",""source_files"":[""LR103(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0091,Adapter - PC09,CHICONY,00214301DC9PH02,available,1,unit,LR 104 Networking / Computer Hardware Servicing Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC09"",""raw_value"":""CHICONY 00214301DC9PH02"",""source_file"":""LR104(1).docx"",""source_files"":[""LR104(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0017,Adapter - PC10,CHICONY,00214307F96PH02,available,1,unit,LR 101 E-Learning / Research Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC10"",""raw_value"":""CHICONY 00214307F96PH02"",""source_file"":""LR101(1).docx"",""source_files"":[""LR101(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0042,Adapter - PC10,CHICONY,00221045A0DPH02,available,1,unit,LR 102 Programming & Web Development Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC10"",""raw_value"":""CHICONY 00221045A0DPH02"",""source_file"":""LR102(1).docx"",""source_files"":[""LR102(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0067,Adapter - PC10,CHICONY,002201045D5PH02,available,1,unit,LR 103 Multi Media / Programming Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC10"",""raw_value"":""CHICONY 002201045D5PH02"",""source_file"":""LR103(1).docx"",""source_files"":[""LR103(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0092,Adapter - PC10,CHICONY,00220145BEPH02,available,1,unit,LR 104 Networking / Computer Hardware Servicing Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC10"",""raw_value"":""CHICONY 00220145BEPH02"",""source_file"":""LR104(1).docx"",""source_files"":[""LR104(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0018,Adapter - PC11,CHICONY,002201045B5PH02,available,1,unit,LR 101 E-Learning / Research Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC11"",""raw_value"":""CHICONY 002201045B5PH02"",""source_file"":""LR101(1).docx"",""source_files"":[""LR101(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0043,Adapter - PC11,CHICONY,002214307EAPH02,available,1,unit,LR 102 Programming & Web Development Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC11"",""raw_value"":""CHICONY 002214307EAPH02"",""source_file"":""LR102(1).docx"",""source_files"":[""LR102(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0068,Adapter - PC11,CHICONY,002201045A8PH02,available,1,unit,LR 103 Multi Media / Programming Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC11"",""raw_value"":""CHICONY 002201045A8PH02"",""source_file"":""LR103(1).docx"",""source_files"":[""LR103(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0093,Adapter - PC11,CHICONY,00214307EA6PH02,available,1,unit,LR 104 Networking / Computer Hardware Servicing Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC11"",""raw_value"":""CHICONY 00214307EA6PH02"",""source_file"":""LR104(1).docx"",""source_files"":[""LR104(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0019,Adapter - PC12,CHICONY,00220104588PH02,available,1,unit,LR 101 E-Learning / Research Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC12"",""raw_value"":""CHICONY 00220104588PH02"",""source_file"":""LR101(1).docx"",""source_files"":[""LR101(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0044,Adapter - PC12,CHICONY,002214307EA2PH02,available,1,unit,LR 102 Programming & Web Development Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC12"",""raw_value"":""CHICONY 002214307EA2PH02"",""source_file"":""LR102(1).docx"",""source_files"":[""LR102(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0069,Adapter - PC12,CHICONY,00214307BAAPH02,available,1,unit,LR 103 Multi Media / Programming Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC12"",""raw_value"":""CHICONY 00214307BAAPH02"",""source_file"":""LR103(1).docx"",""source_files"":[""LR103(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0094,Adapter - PC12,CHICONY,00214301DC6PH02,available,1,unit,LR 104 Networking / Computer Hardware Servicing Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC12"",""raw_value"":""CHICONY 00214301DC6PH02"",""source_file"":""LR104(1).docx"",""source_files"":[""LR104(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0020,Adapter - PC13,CHICONY,002201045F0PH02,available,1,unit,LR 101 E-Learning / Research Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC13"",""raw_value"":""CHICONY 002201045F0PH02"",""source_file"":""LR101(1).docx"",""source_files"":[""LR101(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0045,Adapter - PC13,CHICONY,0022143092FPH02,available,1,unit,LR 102 Programming & Web Development Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC13"",""raw_value"":""CHICONY 0022143092FPH02"",""source_file"":""LR102(1).docx"",""source_files"":[""LR102(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0070,Adapter - PC13,CHICONY,002201045C4PH02,available,1,unit,LR 103 Multi Media / Programming Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC13"",""raw_value"":""CHICONY 002201045C4PH02"",""source_file"":""LR103(1).docx"",""source_files"":[""LR103(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0095,Adapter - PC13,CHICONY,00214307E99PH02,available,1,unit,LR 104 Networking / Computer Hardware Servicing Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC13"",""raw_value"":""CHICONY 00214307E99PH02"",""source_file"":""LR104(1).docx"",""source_files"":[""LR104(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0021,Adapter - PC14,CHICONY,00220100267PH02,available,1,unit,LR 101 E-Learning / Research Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC14"",""raw_value"":""CHICONY 00220100267PH02"",""source_file"":""LR101(1).docx"",""source_files"":[""LR101(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0046,Adapter - PC14,CHICONY,002214307EAPH02,available,1,unit,LR 102 Programming & Web Development Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC14"",""raw_value"":""CHICONY 002214307EAPH02"",""source_file"":""LR102(1).docx"",""source_files"":[""LR102(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0071,Adapter - PC14,CHICONY,002201045C2PH02,available,1,unit,LR 103 Multi Media / Programming Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC14"",""raw_value"":""CHICONY 002201045C2PH02"",""source_file"":""LR103(1).docx"",""source_files"":[""LR103(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0096,Adapter - PC14,CHICONY,00214307E93PH02,available,1,unit,LR 104 Networking / Computer Hardware Servicing Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC14"",""raw_value"":""CHICONY 00214307E93PH02"",""source_file"":""LR104(1).docx"",""source_files"":[""LR104(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0022,Adapter - PC15,CHICONY,00214301BD8PH02,available,1,unit,LR 101 E-Learning / Research Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC15"",""raw_value"":""CHICONY 00214301BD8PH02"",""source_file"":""LR101(1).docx"",""source_files"":[""LR101(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0047,Adapter - PC15,CHICONY,00214307EA5PH02,available,1,unit,LR 102 Programming & Web Development Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC15"",""raw_value"":""CHICONY 00214307EA5PH02"",""source_file"":""LR102(1).docx"",""source_files"":[""LR102(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0072,Adapter - PC15,CHICONY,002201045A4PH02,available,1,unit,LR 103 Multi Media / Programming Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC15"",""raw_value"":""CHICONY 002201045A4PH02"",""source_file"":""LR103(1).docx"",""source_files"":[""LR103(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0097,Adapter - PC15,CHICONY,002201045C0PH02,available,1,unit,LR 104 Networking / Computer Hardware Servicing Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC15"",""raw_value"":""CHICONY 002201045C0PH02"",""source_file"":""LR104(1).docx"",""source_files"":[""LR104(1).docx""]}",,
,Adapter,asset,Computer Peripheral,asset_group,ADAPTER-0023,Adapter - PC16,CHICONY,00214307F93PH02,available,1,unit,LR 101 E-Learning / Research Lab,,"{""ip_address"":""DHCP"",""pc_no"":""PC16"",""raw_value"":""CHICONY 00214307F93PH02"",""source_file"":""LR101(1).docx"",""source_files"":[""LR101(1).docx""]}",,
